up,down,mean_length,var_length,mean_time,var_time
42,32,118.75675675675676,47662.40029218407,1.1095301419088286,22.921138017472177
1,2,53.333333333333336,0.888888888888889,14.365999698638916,206.38194734129343
3,3,64.5,279.9166666666667,7.34249210357666,122.56448282444717
10,10,381.25,193852.4875,2.925721764564514,98.9657190665277
1,2,60.0,354.6666666666667,23.408321142196655,547.5072396018404
3,3,61.166666666666664,240.1388888888889,6.024255752563477,109.4067895243525
4,4,63.375,186.734375,9.143214225769043,311.27487884331873
1,2,62.0,128.0,5.73340858731951,107.16630150227084
15,17,313.40625,242304.8662109375,1.735482473631163,25.188338580301448
3,4,55.142857142857146,102.69387755102044,7.917780876159668,273.9537671103828
9,6,61.0,270.0,5.033786743879318,47.731433326758015
5,2,148.71428571428572,6403.632653061223,10.193330446879068,35.15433862855212
1,2,51.333333333333336,54.22222222222223,35.2462363243103,1242.297175029131
16,17,291.7878787878788,219837.9853076217,1.634191049111856,22.7637267861473
3,3,49.5,29.25,12.348153114318848,347.3510639152764
24,5,97.93103448275862,5720.615933412605,1.8891448634011405,85.75011707336247
1,2,72.0,210.66666666666666,16.115182638168335,258.52244139944247
4,0,95.0,100.0,11.19786947965622,498.1545427777938
1,1,47.0,25.0,11.050619781017303,157.93020054526102
1,2,60.0,354.6666666666667,12.600080966949463,158.61643532553558
4,3,57.42857142857143,256.8163265306123,13.316575686136881,186.3057934417283
6,2,150.25,6522.4375,11.914371848106384,213.48057264970316
0,0,0,0,0,0
3,3,71.66666666666667,320.5555555555556,9.553789615631104,357.05510749553105
0,1,52.0,0.0,0,0
0,1,52.0,0.0,0,0
13,10,250.8695652173913,127676.11342155011,0.09822195226495917,0.027215262993991962
2,2,84.0,12.0,15.381229718526205,472.42509908947386
0,1,52.0,0.0,0,0
0,0,0,0,0,0
2,3,65.2,320.96,9.856432676315308,146.00955033399856
1,1,82.0,16.0,0.040433406829833984,0.0
2,3,49.6,47.04,6.376460790634155,43.133012557304085
7,0,144.28571428571428,7245.0612244897975,6.8463921546936035,12.723966292139721
2,3,77.6,173.44,12.199814319610596,443.7219978571733
0,1,60.0,0.0,0,0
0,0,0,0,0,0
4,3,50.0,26.285714285714285,7.585146427154541,280.43951232081855
2,2,84.0,12.0,15.821135838826498,499.66544193149247
0,1,52.0,0.0,0,0
0,0,0,0,0,0
3,3,71.66666666666667,320.55555555555554,9.424850463867188,263.38720336814595
0,0,0,0,0,0
1,2,51.333333333333336,54.22222222222222,3.4425878524780273,11.851411122029276
2,2,84.0,12.0,15.54120143254598,482.3608058965962
6,1,145.14285714285714,7080.979591836735,8.178412914276123,5.224516223171349
1,1,49.0,9.0,4.073150157928467,0.0
6,2,89.5,86.25,10.26308570589338,249.03579383511575
0,1,52.0,0.0,0,0
0,0,0,0,0,0
1,2,74.66666666666667,256.88888888888886,4.792206287384033,22.96524110084306
1,1,82.0,16.0,0.021255016326904297,0.0
1,2,51.333333333333336,54.22222222222222,18.068256378173828,498.5698365024329
0,1,86.0,0.0,0,0
1,1,82.0,16.0,0.021524429321289062,0.0
0,1,52.0,0.0,0,0
0,1,86.0,0.0,0,0
7,3,122.8,6206.5599999999995,8.766297499338785,173.0967969019149
0,1,52.0,0.0,0,0
1,2,74.66666666666667,256.88888888888886,6.408710479736328,40.95903687089617
1,1,82.0,16.0,0.054917335510253906,0.0
0,1,52.0,0.0,0,0
1,2,60.0,354.6666666666667,18.800238370895386,353.4489628024872
1,2,72.0,210.66666666666666,21.549612283706665,463.01387394352247
0,0,0,0,0,0
0,1,52.0,0.0,0,0
6,5,87.0909090909091,2849.1735537190084,5.88951563835144,82.62200422709093
1,2,51.333333333333336,54.22222222222223,4.052188396453857,16.420230800355284
24,28,409.63461538461536,388330.6164940828,0.46092692543478575,5.439613728040588
6,3,132.22222222222223,6033.283950617285,9.85233724117279,148.09082650695834
3,3,49.666666666666664,33.88888888888889,9.900619506835938,138.43176809061197
4,4,67.0,318.0,8.332856723240443,127.3043038727952
0,1,52.0,0.0,0,0
1,2,62.666666666666664,326.22222222222223,5.7546913623809814,32.98768263579319
2,3,63.6,264.64,12.344713687896729,247.64038574146616
4,5,59.55555555555556,150.02469135802465,7.080142498016357,95.95866424543829
2,3,65.2,320.9599999999999,6.427389979362488,90.84965651001758
4,1,87.8,82.16,8.396918177604675,92.3814187576834
0,1,52.0,0.0,0,0
3,3,71.66666666666667,320.55555555555554,9.985808372497559,168.6658401859372
0,1,52.0,0.0,0,0
4,1,191.6,2787.84,13.44829241434733,262.6032558450195
2,3,62.0,286.4,20.677253007888794,436.770188020823
4,1,46.4,10.24,11.24003291130066,107.69410090993148
10,14,372.4583333333333,252557.2482638889,2.80896052070286,130.70217798061668
1,2,72.0,210.66666666666666,46.56963586807251,2168.7309848848654
0,0,0,0,0,0
3,4,70.0,291.42857142857144,11.388461589813232,251.0582839640771
1,2,51.333333333333336,54.22222222222223,26.69531226158142,712.6396967433393
2,3,65.2,320.96,10.53160846233368,241.03723063175656
4,5,61.111111111111114,208.09876543209876,7.527268826961517,115.98557937638378
21,52,684.1095890410959,434809.5496340777,0.5246400170856051,8.945973848484963
3,3,71.66666666666667,320.55555555555554,9.162222862243652,174.8671193852656
4,1,184.8,4408.960000000001,13.972261349360148,123.51262108253313
0,0,0,0,0,0
6,5,61.81818181818182,305.0578512396694,8.342296123504639,106.4455284014141
1,2,51.333333333333336,54.22222222222223,36.04658603668213,1299.356364899927
16,14,210.13333333333333,103442.64888888891,2.1135385283108414,45.366995547785926
1,2,72.0,210.66666666666666,9.096803665161133,82.03490087762475
2,2,66.5,392.75,1.3176086701844867,4.388160244661828
4,4,53.5,108.75,7.068355300209739,129.1323800711485
18,18,315.6388888888889,320101.06404320983,0.8440440722874233,7.647777839639128
11,12,423.17391304347825,301521.4480151229,3.4795133634047075,212.64683670498624
0,1,86.0,0.0,0,0
0,1,52.0,0.0,0,0
5,2,150.28571428571428,6265.632653061225,8.56617291768392,43.99151232624502
1,2,72.0,210.66666666666666,8.587737083435059,73.376772367061
33,29,92.64516129032258,7983.293444328825,1.423349341408151,32.14942406838498
25,22,80.76595744680851,7740.477138976913,2.0653699791949727,53.3244637926111
1,2,74.66666666666667,256.88888888888886,4.192310571670532,17.575467929340505
1,3,67.5,218.75,25.058178106943767,432.43709868966226
1,2,74.66666666666667,256.88888888888886,18.198235034942627,331.1757583870133
10,9,262.0,146550.94736842104,5.432908005184597,285.5368317653747
5,4,66.66666666666667,264.8888888888889,11.621952652931213,353.6643684890361
6,4,51.2,21.759999999999998,9.32496706644694,341.87204132070855
1,2,60.0,354.6666666666667,9.79994535446167,96.03892895043487
0,1,52.0,0.0,0,0
7,3,131.0,5212.2,9.112389087677002,162.54724799858624
60,15,95.58666666666667,4353.335822222222,0.5978134166763489,4.483750323768957
9,4,118.3076923076923,4531.597633136095,6.715881625811259,145.13666573340677
4,2,47.333333333333336,12.888888888888891,9.193878650665283,72.32462005562274
0,1,86.0,0.0,0,0
64,15,92.83544303797468,3967.150136196121,0.6702774304610032,8.35591281795524
9,4,118.3076923076923,4531.597633136095,7.091687917709351,139.62006652261462
1,2,49.333333333333336,27.555555555555557,23.380082448323567,371.07565712204604
0,1,86.0,0.0,0,0
0,1,52.0,0.0,0,0
0,0,0,0,0,0
1,2,51.333333333333336,54.22222222222222,12.242027521133423,149.86723782818814
15,16,303.35483870967744,209906.29344432877,1.036030610402425,18.030937443337486
2,2,64.5,326.75,7.861032088597615,294.73527832160454
0,0,0,0,4.57864984869957,32.74967095630321
3,3,49.0,41.0,5.544153522042667,37.500794629743474
2,1,59.333333333333336,355.5555555555555,16.65790557861328,121.49293934400305
3,2,95.2,4031.3600000000006,12.505500713984171,334.99715134447655
6,3,115.11111111111111,5391.209876543209,8.036020398139954,198.50310517526106
1,1,47.0,25.0,4.466481804847717,43.36032256473281
4,0,95.0,100.0,3.3527414004007974,22.395402299451288
3,3,71.66666666666667,320.5555555555556,10.36686372756958,359.94415162391397
0,0,0,0,0,0
1,1,47.0,25.0,13.024475574493408,706.319135886709
0,0,0,0,3.910369873046875,54.081792259440675
2,3,56.4,264.64,8.883532285690308,156.56493796531802
1,1,82.0,16.0,0.02045154571533203,0.0
1,1,47.0,25.0,38.95277738571167,1516.5399669639612
2,1,48.0,8.0,9.672608375549316,13.171099366312925
4,2,88.33333333333333,3680.555555555556,16.453238010406494,927.0606113071821
4,1,163.6,4445.44,8.542218208312988,26.538886060896516
0,1,52.0,0.0,0,0
0,1,52.0,0.0,0,0
0,1,52.0,0.0,0,0
2,3,77.6,173.44,16.001868844032288,377.94005179533593
0,0,0,0,0,0
0,1,52.0,0.0,0,0
0,1,52.0,0.0,0,0
1,2,74.66666666666667,256.88888888888886,4.001559019088745,16.01247458325048
1,2,72.0,210.66666666666666,43.52227210998535,1890.8164728151178
0,1,52.0,0.0,0,0
5,1,75.0,4098.333333333333,18.132647037506104,391.4301819752168
4,2,139.0,6418.333333333333,18.42954158782959,277.11233440224305
2,2,64.5,326.75,2.4174116397726126,15.970151285133479
0,0,0,0,0,0
1,2,60.0,354.6666666666667,22.403388619422913,612.3790410499975
2,2,64.5,326.75,3.684084415435791,26.85214918001293
0,1,52.0,0.0,0,0
1,2,60.0,354.6666666666667,2.4056458473205566,5.738311470486224
1,1,82.0,16.0,0.018532276153564453,0.0
3,1,71.0,638.5,26.990285714467365,1456.9510458971624
3,2,74.0,546.8,20.44518291950226,433.0352825239895
1,2,72.0,210.66666666666666,15.528843402862549,240.20105944987904
4,2,76.0,4045.3333333333335,12.95103120803833,97.91947186486459
4,1,157.2,5704.96,17.43190050125122,351.3969626851434
2,2,64.5,326.75,2.2788894176483154,13.242384875421246
0,1,52.0,0.0,0,0
1,2,60.0,354.6666666666667,1.5974438190460205,2.551826755008335
1,2,72.0,210.66666666666666,39.06393766403198,1523.7549265728433
0,0,0,0,0,0
1,2,74.66666666666667,256.88888888888886,3.6053216457366943,12.998344169217546
1,1,82.0,16.0,3.4742455048994585,67.67193819931077
0,1,52.0,0.0,0,0
0,1,86.0,0.0,0,0
35,74,765.2201834862385,466475.5111522599,0.857550545975014,26.455196591357964
56,211,1052.4157303370787,482133.7260446912,0.3476998949409428,16.135935325498426
9,3,101.83333333333333,4768.305555555556,8.567568172108043,128.30074758455004
7,2,52.22222222222222,13.728395061728394,9.030055403709412,274.94782809713706
0,1,60.0,0.0,0,0
3,3,71.66666666666667,320.55555555555554,9.506941795349121,159.17943572332342
0,1,60.0,0.0,0,0
4,4,63.0,293.0,6.7050177710396905,87.85332210481799
0,1,60.0,0.0,0,0
3,3,71.66666666666667,320.5555555555556,9.956733226776123,364.94151889135674
17,18,278.22857142857146,210112.91918367348,2.7335265103508446,139.0709212262121
0,1,86.0,0.0,0,0
1,2,60.0,354.6666666666667,9.600741863250732,92.17424432477515
2,1,127.33333333333333,4120.88888888889,25.412579774856567,644.2351628569568
10,6,90.375,3955.609375,6.2669094403584795,51.64029980079224
0,0,0,0,0,0
1,2,60.0,354.6666666666667,18.397656679153442,338.47377128399927
5,1,90.66666666666667,109.55555555555556,2.085531711578369,16.03237623467203
1,2,60.0,354.6666666666667,22.78165340423584,519.0037318307304
0,1,52.0,0.0,1.8336213111877442,8.069048811941737
2,2,84.0,12.0,8.898682859208849,161.32409852276555
0,1,52.0,0.0,0,0
0,1,86.0,0.0,0,0
0,1,52.0,0.0,0.39140939712524414,0.15320131615794708
2,2,84.0,12.0,15.170618693033854,458.98746260120464
14,11,241.2,119313.76,2.9204766949017844,87.98562874539304
5,2,132.0,5745.142857142857,15.663121938705444,346.87579801620956
3,2,54.4,259.84,22.422120571136475,603.3913052580402
2,3,62.0,286.4,24.501296877861023,662.313501801081
2,3,65.2,320.96,19.295284152030945,601.18631273542
1,2,51.333333333333336,54.22222222222222,37.24719166755676,1387.3532871197099
2,3,65.2,320.96,11.966703732808432,200.4994727066553
4,4,59.0,194.0,12.418475491659981,284.29772773392125
1,2,74.66666666666667,256.88888888888886,17.39761710166931,302.6770808162965
1,1,47.0,25.0,8.753936886787415,138.07030799064782
3,3,71.66666666666667,320.55555555555554,9.45007848739624,293.42995998220977
1,2,60.0,354.6666666666667,8.193686604499817,101.59296419340043
2,1,104.0,6514.666666666667,5.688453018665314,51.73864246521936
4,2,146.33333333333334,5264.555555555556,14.83383560180664,120.55002607144525
4,3,57.42857142857143,256.8163265306123,6.249672571818034,64.41813501823061
2,2,67.5,346.75,12.16218376159668,197.99379898829238
1,2,74.66666666666667,256.88888888888886,0.6011199951171875,0.3505436186571842
1,2,72.0,210.66666666666666,26.173038482666016,683.2595077010012
1,2,74.66666666666667,256.88888888888886,19.80168581008911,392.10676092148447
1,2,60.0,354.6666666666667,27.65360673268636,689.4509613872301
1,2,72.0,210.66666666666666,15.683082342147827,245.00845615538225
1,2,74.66666666666667,256.88888888888886,9.202799797058105,84.52739587519318
5,2,80.0,509.14285714285717,12.280977567036947,232.7205924311891
1,2,72.0,210.66666666666666,6.387200057506561,98.203144649053
3,2,96.8,3986.56,9.430952469507853,174.97284037734823
3,1,176.5,5166.75,16.717569828033447,89.6132578091662
4,4,66.0,339.0,9.476261479513985,146.5460736887563
17,12,211.27586206896552,107333.23424494648,1.813684616770063,27.78261435541183
16,17,293.1818181818182,167082.81542699726,1.3502400368452072,50.2599576840912
3,3,71.66666666666667,320.55555555555554,7.068987607955933,70.7097282687642
2,2,66.5,392.75,11.73490047454834,373.5363312019018
0,0,0,0,0,0
17,18,286.37142857142857,208042.69061224489,2.1803081035614014,44.17588210252135
0,1,52.0,0.0,15.864757299423218,251.3682867396497
1,2,77.33333333333333,150.22222222222223,9.959369897842407,99.18904876204948
1,2,74.66666666666667,256.88888888888886,2.9883134365081787,8.93001719481532
3,2,96.8,3903.3599999999997,21.56765043735504,795.7957785904636
4,2,146.33333333333334,5264.555555555556,7.76215124130249,40.02194420777505
1,2,62.666666666666664,326.22222222222223,25.696051120758057,660.2870432006114
5,5,56.6,192.84,9.431534343295628,228.86162564924183
4,3,58.57142857142857,311.6734693877552,13.28322927157084,130.13208128699682
0,0,0,0,0,0
3,3,71.66666666666667,320.55555555555554,9.862449645996094,158.9442453739307
0,0,0,0,0,0
1,2,74.66666666666667,256.88888888888886,4.0042078495025635,15.963893302775034
0,0,0,0,0,0
3,3,71.66666666666667,320.5555555555556,10.19153881072998,360.52854667506017
0,1,52.0,0.0,0,0
2,1,130.0,3872.0,44.35309410095215,1966.3054069519603
6,5,90.72727272727273,3779.1074380165287,7.675574541091919,180.6077097343746
1,1,82.0,16.0,0.03758430480957031,0.0
3,3,60.666666666666664,332.8888888888889,8.294909000396729,183.09392222790166
5,0,73.4,553.84,10.037465691566467,50.52635071164211
1,2,60.0,354.6666666666667,23.008978366851807,529.0156613555382
1,2,72.0,210.66666666666666,27.826663653055828,1524.6326273773332
0,1,86.0,0.0,0,0
0,1,52.0,0.0,0,0
10,13,346.0,241981.91304347827,2.6592824675820093,107.38257501826625
2,1,91.0,3888.6666666666665,25.596052408218384,655.1578988842621
16,17,329.24242424242425,227703.51698806247,1.0279982537031174,13.033435876996162
3,2,123.2,6204.16,22.304282784461975,1080.1818586917148
116,172,607.7083333333334,416085.70659722225,0.31728276807672057,6.004443482898916
45,101,785.5890410958904,467154.8037155189,0.688644787360882,20.857018158726287
5,7,148.25,89903.02083333333,7.85654371434992,280.1798884688239
2,3,55.6,245.44,11.722677946090698,232.64210073097752
18,16,290.5,213376.7794117647,2.6073542508212,162.76620551876388
1,2,74.66666666666667,256.88888888888886,9.211688041687012,84.8551965773595
2,2,49.0,57.0,10.52658200263977,149.17699478795564
4,4,66.5,340.75,7.738521364000109,197.72741048091177
1,2,51.333333333333336,54.22222222222223,4.5213401317596436,22.829105962323126
109,612,1116.8529819694868,388285.2127823699,0.11891385581758288,2.249115942171271
143,410,928.8462929475588,454375.12103960314,0.09914083325344583,1.3687619800393467
20,14,69.5,1538.3088235294117,1.6301087177161016,28.267903402542963
8,5,79.46153846153847,3586.248520710059,6.518345062549297,140.23723030498263
3,4,60.0,304.0,8.653085947036743,166.36425542997932
1,2,51.333333333333336,54.22222222222222,6.632178425788879,101.08007127962927
13,14,370.0740740740741,272867.550068587,2.440995829445975,30.87931158911395
4,1,46.4,10.24,6.221092939376831,25.09172284337211
2,3,63.6,347.84000000000003,20.40160596370697,462.1977365140605
0,1,52.0,0.0,0,0
3,3,71.66666666666667,320.55555555555554,6.242019732793172,90.79651651857604
3,3,54.666666666666664,150.22222222222223,5.531247343335833,40.975414369283804
7,4,67.0,471.6363636363636,5.537203788757324,39.541264153994234
2,3,49.6,47.04,20.400543808937073,537.194704886512
6,4,96.8,3944.96,6.706740205938166,64.93561954754144
3,2,118.0,6699.2,10.500732064247131,44.88137500234863
2,3,56.4,264.64,3.797364830970764,36.17358107969828
4,4,51.25,33.9375,11.658751964569092,232.26500265559156
4,4,65.5,360.75,10.009125982012067,141.57645496626355
3,2,47.6,15.040000000000001,10.966163873672485,206.61269071086247
2,2,56.5,302.75,10.182074705759684,95.56872827019004
0,1,52.0,0.0,0,0
3,3,71.66666666666667,320.55555555555554,8.998939990997314,178.54160787618412
66,15,96.28395061728395,4177.536655997561,0.7409538626670837,6.124662213310439
5,4,88.0,2326.222222222222,10.721761584281921,198.1575229674572
0,1,52.0,0.0,0,0
2,2,66.5,392.75,5.170712735917833,53.88598403128204
0,1,52.0,0.0,0,0
2,2,84.0,12.0,16.463104089101154,540.845212969287
70,16,95.44186046511628,4219.688480259598,1.0826717825496899,12.806656843858883
4,3,78.57142857142857,3373.3877551020414,7.538756457242099,98.58930683465265
4,4,66.0,339.0,8.419672761644636,138.03176670962904
38,51,418.3370786516854,340915.07738921855,0.6716409596529874,11.194046869071517
14,17,372.0967741935484,240829.18418314258,2.599802166223526,124.85729768287929
1,1,82.0,16.0,0.02546548843383789,0.0
0,1,52.0,0.0,2.3107337951660156,5.339490672122338
1,2,60.0,354.6666666666667,5.795350074768066,33.58608248911423
6,6,60.25,157.85416666666666,6.297625411640514,94.4585018606614
1,2,51.333333333333336,54.22222222222222,28.29695224761963,800.7175065040656
4,4,78.0,42.0,5.42132705450058,141.12253932803458
1,1,47.0,25.0,3.6846976096813497,122.71613254654662
7,4,105.63636363636364,4894.9586776859505,3.0301767190297446,22.071324408154727
9,4,83.0,1935.3846153846155,5.2872322499752045,41.90359116675741
0,1,52.0,0.0,0,0
2,2,67.5,346.75,14.944934248924255,93.07622552724517
4,5,56.888888888888886,200.09876543209876,6.711402177810669,77.35757511722618
0,1,52.0,0.0,0,0
3,3,71.66666666666667,320.55555555555554,9.263514518737793,135.34712626391774
0,1,52.0,0.0,0,0
0,0,0,0,0,0
3,3,71.66666666666667,320.5555555555556,10.03923749923706,315.6437685191454
69,102,673.2923976608187,974124.5577784616,0.2661176849814022,1.878847389200273
1,1,70.0,256.0,62.86804914474487,0.0
7,3,106.0,5554.4,3.3071346282958984,41.55715720306762
1,1,135.0,6889.0,3.7323816299438475,87.51373121190807
3,3,73.0,277.0,11.812383651733398,356.9106921860098
1,2,48.666666666666664,22.222222222222225,5.5610716342926025,30.925517721733797
6,2,48.5,34.75,9.282285145350865,200.28165450235036
4,4,66.5,340.75,6.915882655552456,109.9890144332024
0,1,52.0,0.0,0,0
1,2,62.666666666666664,326.22222222222223,24.384604692459106,594.6089460074986
1,2,72.0,210.66666666666666,5.984638929367065,35.16255954116474
0,1,60.0,0.0,0,0
7,7,61.857142857142854,273.97959183673464,6.466310024261475,87.00399269898054
0,1,52.0,0.0,0,0
3,0,218.0,0.0,10.133429765701294,3.65288599368796e-07
